date,CMRMTSPLx,IPDCONGD,HWI,CES0600000007,AWHMAN,COMPAPFFx,EXSZUSx,DTCTHFNM,cum_return_1_0,fc2y,oa,rel_to_high_price,s2p,suv,dp,tms,svar
196603,-0.00346486333675777,0.00301256548115036,1,41,41.5,0.4,0.00259079487965197,-0.0179256686621958,-0.0275603678,0,0.000451016999999998,-0.0234564845932018,0,-0.1739688745,0.0292771133449814,9.99999999999959e-05,0.000931008
196604,0.00570379638392637,-0.00150677671102484,1,41.2,41.7,0.28,0.00108521235785708,7.0141081796038e-05,-0.03579884425,4.13771674301344e-05,0.000319969000000003,-0.0396494255585322,-0.000452212269472008,-0.504066868,-0.0143121010060141,0.0005,0.000351265
196605,0.0294641353452878,0.0075112819060843,4,41.2,41.6,0.56,0.00161409369114485,0.00240005606504567,0.0652416739,0.00578360653479426,-0.000319969000000003,0.0101118785955292,0.000452212269472008,-0.3525678035,0.0615788679427776,0.000900000000000005,0.001935475
196606,-0.0246183434677718,0.0185239112717963,-3,41.2,41.8,0.71,-0.00269930604900193,0.0041402984415857,-0.1114548729,0.00575034868836943,-0.000319968999999996,-0.0947470942353489,-0.000452212269472008,-0.566620795,0.0221885777294846,0.0027,0.000501207
196607,-0.00342851149881795,-0.0162830971837473,1,40.8,41.5,0.49,-0.00279927540485159,0.000328431242085259,0.071056519,0,0,-0.0207580146647293,0,-0.2833826605,0.0205865077331695,0.000199999999999999,0.001013785
196608,0.023214507255604,0,1,40.9,41.4,0.34,-9.2671964480262e-05,0.00492358901898804,-0.005799622,0,0,-0.0193020360529407,0,-0.4193704305,0.0879332750123432,0.000300000000000002,0.003165235
196609,-0.0359686065245715,-0.0188341746546921,0,40.8,41.2,0.33,0.000208499844380539,-0.00122392706453489,-0.076751146,0.00030235475969298,8.79725000000001e-05,-0.115569325689303,0.00484403366037728,0.0695695554,0.0139730057773959,-0.0057,0.001600311
196610,0.0396514954586316,-0.0160982003287575,-1,40.9,41.4,0.32,0.00233685510261328,-0.000334736691733895,0.071406078,0.00243788537405476,0,-0.0329460997535841,-0.00395515493973797,-0.259746237,-0.0487697983368998,-0.0068,0.002546777
196611,-1.80347052403107e-05,0.00616308605808857,-1,40.7,41.2,0.49,0.000346592422338032,-0.00701723720085035,0.020547945,0,0,-0.00248827329661339,0,-0.252400269,-0.0054040262355266,-0.0052,0.000774416
196612,-0.0139295421467267,0.0501796935476486,0,40.8,41.3,0.47,0.00166197351398689,0.00263263547944526,0.0211063828,0,0,0.01802536142875,-0.00177854824964363,-0.118012865,-0.000839050821407561,-0.0041,0.000626942
196701,0.000688933252670054,-0.030407201276887,0,40.7,41.2,0.24,-0.00334985469945881,0.00151117724755956,-0.01528750865,-0.00131062155746653,7.58240000000004e-05,0.0284778770929521,-0.00109994529845747,0.61681031205,-0.0717938677809071,-0.0024,0.000733488
196702,-0.00245924843516576,-0.0105968579736708,-1,40.6,40.9,0.6,0.00053210564709083,0.0112615350928476,0.13616895625,0.00131062155746653,0.000150182,0.146719504733272,-0.000390999546351911,0.2550637055,0.00150530994923548,0.000899999999999998,0.000412404
196703,-0.0100505054200841,-0.0252773283000258,1,40.8,41.1,0.79,0.00173316276183089,-0.0239861652245619,-0.13098671705,-0.00131062155746653,0.0011850755,0.0362892947688675,-0.00199846573187934,-0.184082824,-0.0351990118302865,0.0029,0.000501136
196704,-0.00384574073789423,-0.028182153285516,-1,40,40.4,0.38,0.00119989861409264,-9.67235090243435e-07,0.0338869472,0.0012183123014109,0,0.0523513283435736,0.00206764670487419,-0.260091296,-0.0413717325218812,0.0093,0.000837097
196705,0.00721674803640937,0.00918007980408664,-2,40.2,40.5,0.71,-0.000784386142740567,0.00339226227392508,-0.01309147665,-0.0012183123014109,0.000290273499999999,0.0402014758303837,0,-0.09244782,0.0538663172012921,0.0122,0.00089034
196706,-0.000654218608829638,0.00769197680084854,1,40,40.4,0.78,-0.0020330375490456,0.00361624456708753,-0.0530731789,0.00112599452356998,-7.32599999999986e-05,-0.0380495277911655,6.91761873189423e-05,-0.241529925,-0.0173607743305837,0.0153,0.001070733
196707,-0.000819200135026676,-0.0140517373631646,-1,40,40.4,0.73,-0.00185180951508812,-8.72319722216019e-05,0.0675681531,-0.0243463932982089,0,0.0347101101111681,-0.00149528722111758,-0.3596903225,-0.0420385471582816,0.0084,0.000218447
196708,0.00740101757389411,-0.010881507758397,0,40.1,40.4,0.67,0.000139004726384506,0.00637614474065273,0.02358682265,0.00221113137717377,0,0.0353343314589068,-0.00149528722111758,-0.125316761,0.014052243549175,0.0087,0.000296618
196709,-0.00648316488076972,0.0133143047036439,-1,40.2,40.5,1.13,0.00164342378288262,-0.00162304968841376,-0.08016206875,0.00141503617587913,0.0001009995,-0.0310312806378629,-0.00139758343200835,-0.409790305,-0.0299620101122522,0.0075,0.000358544
196710,0.0133432212905138,0.0112743087353486,2,40.2,40.6,1.1,0.00288680469760716,0.000937842576913539,0.0480707455,0,0.000201809,0.0175736416503909,0.00279321635025609,-0.257333301,0.0294864235146548,0.0093,0.000444903
196711,0.0035240170038584,-0.0031104649412832,-1,40.3,40.6,1.01,0.00147482455583781,-0.00711415294294149,-0.08283576,-0.00141503617587913,9.86174999999998e-05,-0.0685699000128895,-0.00602145670931586,-0.1589124575,-0.00106439605578679,0.0094,0.000954783
196712,-0.00696281344281324,0.0182907521806306,2,40.2,40.6,1.19,-0.000345466901949365,0.00304197831570541,0.038863109,0,0,-0.0261054102308044,0,-0.304519554,-0.0259372969124581,0.0059,0.000270899
196801,0.0265794771916639,0.0543675762326625,-1,40.5,40.6,1.15,-0.00480281702754071,0.00210077035693068,0.0602285438,-0.00387370689652355,0.000133337,0.048565048810195,0,0.1912531021,0.048257009970444,0.0036,0.000483319
