yyyymm,Index,D12,E12,b/m,tbl,AAA,BAA,lty,ntis,Rfree,infl,ltr,corpr,svar,csp
199810,1098.67,16.1603,37.9633,0.185519077,0.0396,0.0637,0.0718,0.054,0.020740089,0.0032,0.002444988,-0.0218,-0.019,0.005171528,-0.001374851
199811,1163.63,16.1777,37.8367,0.174846845,0.0441,0.0641,0.0734,0.0535,0.022003577,0.0031,0,0.0097,0.027,0.001936679,-0.00121526
199812,1229.23,16.195,37.71,0.173611315,0.0439,0.0622,0.0723,0.0542,0.020057029,0.0038,-0.000609756,-0.0032,0.001,0.003286897,-0.001033873
199901,1279.64,16.2797,37.9333,0.170320619,0.0434,0.0624,0.0729,0.0536,0.015587699,0.0035,0.002440513,0.0121,0.0123,0.003335614,-0.001295993
199902,1238.33,16.3643,38.1567,0.17127681,0.0444,0.064,0.0739,0.0587,0.018446668,0.0035,0.001217286,-0.052,-0.0401,0.00348215,-0.001172852
199903,1286.37,16.449,38.38,0.172897171,0.0444,0.0662,0.0753,0.0592,0.020668122,0.0043,0.003039514,-0.0008,0.0002,0.003213587,-0.001075351
199904,1335.18,16.4487,39.26,0.156825876,0.0429,0.0664,0.0748,0.0594,0.025181266,0.0037,0.007272727,0.0021,-0.0024,0.002726626,-0.001258082
199905,1301.84,16.4483,40.14,0.160231135,0.045,0.0693,0.0772,0.0615,0.025897435,0.0034,0,-0.0185,-0.0176,0.003085649,-0.00115228
199906,1372.71,16.448,41.02,0.154227447,0.0457,0.0723,0.0802,0.0627,0.018868581,0.004,0,-0.0078,-0.016,0.002409247,-0.001144629
199907,1328.72,16.5123,42,0.158796473,0.0455,0.0719,0.0795,0.0639,0.019370442,0.0038,0.003008424,-0.0077,-0.0113,0.001611178,-0.001169595
199908,1320.41,16.5767,42.98,0.156243027,0.0472,0.074,0.0815,0.0649,0.018880738,0.0039,0.00239952,-0.0053,-0.0026,0.002729849,-0.001055846
199909,1282.71,16.641,43.96,0.163684498,0.0468,0.0739,0.082,0.0646,0.020379679,0.0039,0.004787552,0.0084,0.0093,0.002704943,-0.000985703
199910,1362.93,16.658,45.3633,0.157690661,0.0486,0.0755,0.0838,0.0651,0.020445237,0.0039,0.001786778,-0.0012,0.0047,0.004875975,-0.00051504
199911,1388.91,16.675,46.7667,0.155545967,0.0507,0.0736,0.0815,0.0662,0.018280454,0.0036,0.00059453,-0.0061,-0.0024,0.001354267,0.000110711
199912,1469.25,16.692,48.17,0.147167259,0.052,0.0755,0.0819,0.0682,0.017888757,0.0044,0,-0.0155,-0.0102,0.001148775,0.000064278
200001,1394.46,16.7153,49.0967,0.15465416,0.0532,0.0778,0.0833,0.0666,0.025358781,0.0041,0.002970885,0.0228,-0.0021,0.0052063,0.000622372
